test,N,M,C,total_cost_Crama’s LP,total_cost_LSG,total_cost_Privault-Finke,millis_Crama’s LP,millis_LSG,millis_Privault-Finke
rand_M2393_N284_C16_id000.txt,284,2393,16,6681,6681,6681,24.224,1.74,1066.662
rand_M23_N13_C3_id000.txt,13,23,3,60,60,60,0.114,0.007,0.085
rand_M2405_N285_C16_id000.txt,285,2405,16,6608,6608,6608,21.86,1.531,1054.939
rand_M2418_N286_C16_id000.txt,286,2418,16,7081,7081,7081,26.512,1.786,1294.945
rand_M2431_N287_C16_id000.txt,287,2431,16,7320,7320,7320,28.49,1.77,1245.081
rand_M2443_N288_C16_id000.txt,288,2443,16,7230,7230,7230,25.738,1.749,1288.018
rand_M244_N62_C7_id000.txt,62,244,7,752,752,752,0.968,0.08,7.711
rand_M2456_N289_C17_id000.txt,289,2456,17,7583,7583,7583,31.105,2.25,1460.106
rand_M2469_N290_C17_id000.txt,290,2469,17,7393,7393,7393,27.198,2.018,1375.181
rand_M2482_N291_C17_id000.txt,291,2482,17,8149,8149,8149,30.812,2.25,1645.344
rand_M2494_N292_C17_id000.txt,292,2494,17,7751,7751,7751,29.309,2.245,1477.593
rand_M2507_N293_C17_id000.txt,293,2507,17,7538,7538,7538,28.217,1.931,1387.087
rand_M250_N63_C7_id000.txt,63,250,7,568,568,568,0.669,0.062,5.239
rand_M2520_N294_C17_id000.txt,294,2520,17,8053,8053,8053,30.481,2.28,1616.37
rand_M2533_N295_C17_id000.txt,295,2533,17,7939,7939,7939,31.619,2.421,1577.508
rand_M2546_N296_C17_id000.txt,296,2546,17,7789,7789,7789,31.645,2.281,1567.945
rand_M2559_N297_C17_id000.txt,297,2559,17,7827,7827,7827,30.559,2.113,1557.927
rand_M256_N64_C8_id000.txt,64,256,8,759,759,759,1.297,0.092,8.728
rand_M2572_N298_C17_id000.txt,298,2572,17,8120,8120,8120,33.761,2.211,1705.231
rand_M2585_N299_C17_id000.txt,299,2585,17,7363,7363,7363,27.782,1.893,1371.036
